[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => _queue_out_data_ptr->size =0 
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5261 bytes= 215
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5262 bytes= 80
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5261 ( 215 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5263 bytes= 80
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5262 ( 80 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5264 bytes= 80
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5263 ( 80 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5265 bytes= 80
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5264 ( 80 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5266 bytes= 220
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5265 ( 80 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5267 bytes= 80
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5266 ( 220 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5268 bytes= 80
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5267 ( 80 )
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5268 ( 80 )
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => _queue_out_data_ptr->size =0 
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5269 bytes= 80
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5270 bytes= 91
